,rsi,willr,stochk,cci,mfi,roc10,roc3,macd_hist,bb_pctb,bb_width,zscore,adx,di_spread,aroonosc,psar_dist,ich_kijun,dist_sma50,dist_sma200,sma_cross,donch_pos,ema_slope,atr_pct,keltner_pos,rvol,obv_slope,force_idx,ad_slope,vwap_dist,gap,engulf,hammer
adx,0.101,0.032,0.042,0.039,0.07,0.025,0.004,-0.015,0.041,0.427,0.041,1.0,0.106,0.084,-0.015,-0.031,0.089,0.121,0.073,0.044,0.043,0.125,0.075,0.007,0.042,0.006,0.026,0.014,-0.006,0.001,0.0
di_spread,0.934,0.72,0.75,0.822,0.694,0.747,0.487,0.553,0.818,-0.025,0.818,0.106,1.0,0.692,0.596,0.785,0.844,0.541,0.1,0.788,0.834,-0.277,0.926,-0.022,0.546,0.542,0.391,0.809,0.196,0.008,-0.049
aroonosc,0.71,0.427,0.52,0.573,0.553,0.437,0.161,0.277,0.562,-0.053,0.562,0.084,0.692,1.0,0.261,0.657,0.695,0.455,0.096,0.588,0.673,-0.229,0.642,-0.008,0.331,0.298,0.251,0.539,0.058,-0.007,-0.01
psar_dist,0.636,0.758,0.722,0.724,0.461,0.75,0.642,0.684,0.728,-0.023,0.728,-0.015,0.596,0.261,1.0,0.65,0.486,0.256,-0.018,0.7,0.563,-0.204,0.712,-0.059,0.501,0.54,0.411,0.771,0.229,0.037,-0.047
ich_kijun,0.84,0.721,0.735,0.724,0.627,0.739,0.475,0.572,0.741,-0.177,0.741,-0.031,0.785,0.657,0.65,1.0,0.838,0.501,0.056,0.81,0.857,-0.395,0.843,-0.046,0.504,0.535,0.422,0.88,0.165,0.044,-0.036
dist_sma50,0.866,0.594,0.623,0.653,0.587,0.684,0.403,0.373,0.662,-0.085,0.662,0.089,0.844,0.695,0.486,0.838,1.0,0.688,0.188,0.688,0.892,-0.366,0.826,-0.013,0.476,0.528,0.366,0.764,0.154,0.025,-0.026
dist_sma200,0.578,0.343,0.366,0.377,0.349,0.373,0.207,0.085,0.382,-0.14,0.382,0.121,0.541,0.455,0.256,0.501,0.688,1.0,0.828,0.41,0.555,-0.352,0.513,-0.002,0.273,0.303,0.217,0.422,0.083,0.004,-0.016
sma_cross,0.133,0.018,0.027,0.019,0.032,-0.007,-0.021,-0.18,0.018,-0.135,0.018,0.073,0.1,0.096,-0.018,0.056,0.188,0.828,1.0,0.038,0.088,-0.209,0.074,0.008,0.014,0.006,0.021,0.001,-0.002,-0.014,-0.002
donch_pos,0.888,0.933,0.905,0.906,0.694,0.728,0.526,0.625,0.936,-0.024,0.936,0.044,0.788,0.588,0.7,0.81,0.688,0.41,0.038,1.0,0.724,-0.236,0.902,-0.037,0.524,0.449,0.455,0.855,0.155,0.077,-0.045
ema_slope,0.837,0.64,0.743,0.693,0.666,0.818,0.275,0.622,0.695,-0.061,0.695,0.043,0.834,0.673,0.563,0.857,0.892,0.555,0.088,0.724,1.0,-0.327,0.823,-0.027,0.564,0.541,0.427,0.841,0.06,-0.002,-0.013
atr_pct,-0.301,-0.202,-0.213,-0.209,-0.176,-0.205,-0.109,-0.114,-0.214,0.664,-0.214,0.125,-0.277,-0.229,-0.204,-0.395,-0.366,-0.352,-0.209,-0.236,-0.327,1.0,-0.284,0.037,-0.14,-0.198,-0.121,-0.277,-0.041,0.001,0.02
keltner_pos,0.977,0.868,0.843,0.899,0.717,0.819,0.614,0.647,0.917,-0.02,0.918,0.075,0.926,0.642,0.712,0.843,0.826,0.513,0.074,0.902,0.823,-0.284,1.0,-0.027,0.592,0.574,0.469,0.901,0.217,0.065,-0.047
rvol,-0.026,-0.041,-0.039,-0.022,-0.019,-0.033,-0.008,-0.051,-0.027,0.008,-0.027,0.007,-0.022,-0.008,-0.059,-0.046,-0.013,-0.002,0.008,-0.037,-0.027,0.037,-0.027,1.0,-0.024,-0.05,-0.03,-0.043,0.011,0.002,-0.018
obv_slope,0.565,0.536,0.546,0.544,0.569,0.671,0.354,0.536,0.554,0.035,0.553,0.042,0.546,0.331,0.501,0.504,0.476,0.273,0.014,0.524,0.564,-0.14,0.592,-0.024,1.0,0.578,0.526,0.577,0.128,0.029,-0.031
force_idx,0.522,0.44,0.414,0.503,0.41,0.603,0.506,0.565,0.5,-0.028,0.5,0.006,0.542,0.298,0.54,0.535,0.528,0.303,0.006,0.449,0.541,-0.198,0.574,-0.05,0.578,1.0,0.373,0.575,0.253,0.029,-0.02
ad_slope,0.445,0.473,0.481,0.419,0.383,0.505,0.265,0.403,0.431,0.013,0.43,0.026,0.391,0.251,0.411,0.422,0.366,0.217,0.021,0.455,0.427,-0.121,0.469,-0.03,0.526,0.373,1.0,0.477,-0.005,0.039,0.004
vwap_dist,0.854,0.826,0.821,0.831,0.678,0.876,0.614,0.75,0.849,-0.028,0.849,0.014,0.809,0.539,0.771,0.88,0.764,0.422,0.001,0.855,0.841,-0.277,0.901,-0.043,0.577,0.575,0.477,1.0,0.218,0.055,-0.043
gap,0.176,0.172,0.063,0.242,0.107,0.195,0.339,0.104,0.218,0.007,0.219,-0.006,0.196,0.058,0.229,0.165,0.154,0.083,-0.002,0.155,0.06,-0.041,0.217,0.011,0.128,0.253,-0.005,0.218,1.0,-0.101,-0.061
engulf,0.056,0.095,0.012,0.025,0.023,0.039,0.074,0.016,0.076,0.01,0.076,0.001,0.008,-0.007,0.037,0.044,0.025,0.004,-0.014,0.077,-0.002,0.001,0.065,0.002,0.029,0.029,0.039,0.055,-0.101,1.0,-0.001
hammer,-0.042,-0.051,-0.03,-0.064,-0.038,-0.032,-0.059,-0.025,-0.05,0.012,-0.05,0.0,-0.049,-0.01,-0.047,-0.036,-0.026,-0.016,-0.002,-0.045,-0.013,0.02,-0.047,-0.018,-0.031,-0.02,0.004,-0.043,-0.061,-0.001,1.0
